week,date,ID,treat,totalmass,bagmass,mass,original_mass_2_27,SVL,deltamass,percentofstartweight,percentgrowthrate,notes,crickseaten,cricksfed,propcrick,percpercgrowthrate
1,2_27_2019,49,1.35,14.2,7.7,6.5,6.5,59.2,,,,,,,,
1,2_27_2019,58,1.35,15.15,7.65,7.5,7.5,63.1,,,,,,,,
1,2_27_2019,66,1.35,13.05,7.7,5.35,5.35,55,,,,,,,,
1,2_27_2019,77,1.35,14.4,7.65,6.75,6.75,59.7,,,,,,,,
1,2_27_2019,78,1.35,13.2,7.7,5.5,5.5,59.4,,,,,,,,
1,2_27_2019,82,1.35,13,7.7,5.3,5.3,52.4,,,,,,,,
2,3_6_2019,11,0,13.35,7.75,5.6,5.35,54.6,0.25,1.046728972,1.046728972,,,,,NA
2,3_6_2019,23,0,17.3,7.75,9.55,8.8,61.2,0.75,1.085227273,1.085227273,,,,,NA
2,3_6_2019,29,0,13.45,7.75,5.7,5.8,56.1,-0.1,0.982758621,0.982758621,,,,,
2,3_6_2019,33,0,15.4,7.75,7.65,8.2,60.8,-0.55,0.932926829,0.932926829,,,,,
2,3_6_2019,35,0,14.2,7.75,6.45,6.35,59.1,0.1,1.015748031,1.015748031,,,,,
2,3_6_2019,36,0,14.95,7.75,7.2,7.15,58.4,0.05,1.006993007,1.006993007,,,,,
2,3_6_2019,37,0,14.1,7.75,6.35,6.35,57,0,1,1,,,,,
2,3_6_2019,45,0,14.5,7.75,6.75,6.8,59,-0.05,0.992647059,0.992647059,,,,,
2,3_6_2019,50,0,13.35,7.75,5.6,5.6,55.6,0,1,1,,,,,
2,3_6_2019,75,0,12.5,7.75,4.75,4.75,55.5,NA,NA,NA,,,,,
2,3_6_2019,8,0.05,15.15,7.75,7.4,6.95,56.4,0.45,1.064748201,1.064748201,,,,,
2,3_6_2019,30,0.05,15.15,7.75,7.4,7.65,61.1,-0.25,0.967320261,0.967320261,,,,,
2,3_6_2019,34,0.05,15.7,7.75,7.95,7.8,58.1,0.15,1.019230769,1.019230769,,,,,
2,3_6_2019,43,0.05,13.65,7.75,5.9,6.1,54.6,-0.2,0.967213115,0.967213115,,,,,
2,3_6_2019,53,0.05,12.65,7.75,4.9,5.2,55.7,-0.3,0.942307692,0.942307692,,,,,
2,3_6_2019,55,0.05,13.85,7.75,6.1,5.75,58.9,0.35,1.060869565,1.060869565,,,,,
2,3_6_2019,62,0.05,14.15,7.75,6.4,6.5,55.6,-0.1,0.984615385,0.984615385,,,,,
2,3_6_2019,65,0.05,13.05,7.8,5.25,4.85,55,0.4,1.082474227,1.082474227,,,,,
2,3_6_2019,70,0.05,13.9,7.8,6.1,5.9,57.8,0.2,1.033898305,1.033898305,,,,,
2,3_6_2019,74,0.05,13.65,7.8,5.85,5.75,56.6,0.1,1.017391304,1.017391304,,,,,
2,3_6_2019,5,0.15,13.6,7.75,5.85,5.5,54.3,0.35,1.063636364,1.063636364,,,,,
2,3_6_2019,6,0.15,14.9,7.75,7.15,6.85,62.2,0.3,1.04379562,1.04379562,,,,,
2,3_6_2019,10,0.15,13.9,7.75,6.15,6.35,56.2,-0.2,0.968503937,0.968503937,,,,,
2,3_6_2019,25,0.15,15.5,7.7,7.8,8.15,61.4,-0.35,0.957055215,0.957055215,,,,,
2,3_6_2019,39,0.15,13.05,7.75,5.3,5.05,55.5,0.25,1.04950495,1.04950495,,,,,
2,3_6_2019,42,0.15,14.5,7.75,6.75,6.35,58,0.4,1.062992126,1.062992126,,,,,
2,3_6_2019,63,0.15,14.15,7.7,6.45,6.5,58.7,-0.05,0.992307692,0.992307692,,,,,
2,3_6_2019,71,0.15,13.1,7.75,5.35,4.85,55.4,0.5,1.103092784,1.103092784,,,,,
2,3_6_2019,79,0.15,14.15,7.75,6.4,5.9,56.7,0.5,1.084745763,1.084745763,,,,,
2,3_6_2019,80,0.15,13.05,7.7,5.35,5.95,61.5,-0.6,0.899159664,0.899159664,,,,,
2,3_6_2019,16,0.45,13,7.7,5.3,5.3,54.9,0,1,1,,,,,
2,3_6_2019,26,0.45,14.4,7.65,6.75,7.2,62.1,-0.45,0.9375,0.9375,,,,,
2,3_6_2019,28,0.45,14.55,7.65,6.9,6.55,61.1,0.35,1.053435115,1.053435115,,,,,
